temperature	xi	ar_xviii	wavelength	opacity
0.524608492851	2.3775100708	ar_xviii	3.7311	0.0	
0.524608492851	2.41767072678	ar_xviii	3.7311	0.0	
0.524608492851	2.45783138275	ar_xviii	3.7311	0.0	
0.524608492851	2.49799203873	ar_xviii	3.7311	7.89789e-19	
0.524608492851	2.5381526947	ar_xviii	3.7311	1.2609e-18	
0.524608492851	2.57831335068	ar_xviii	3.7311	2.00227e-18	
0.524608492851	2.61847400665	ar_xviii	3.7311	3.16256e-18	
0.524608492851	2.65863442421	ar_xviii	3.7311	4.96704e-18	
0.524608492851	2.69879508018	ar_xviii	3.7311	7.75553e-18	
0.524608492851	2.73895573616	ar_xviii	3.7311	1.2036e-17	
0.524608492851	2.77911639214	ar_xviii	3.7311	1.85625e-17	
0.524608492851	2.81927704811	ar_xviii	3.7311	2.84364e-17	
0.524608492851	2.85943770409	ar_xviii	3.7311	4.32706e-17	
0.524608492851	2.89959836006	ar_xviii	3.7311	6.53712e-17	
0.524608492851	2.93975901604	ar_xviii	3.7311	9.8044e-17	
0.524608492851	2.97991967201	ar_xviii	3.7311	1.45863e-16	
0.524608492851	3.02008032799	ar_xviii	3.7311	2.15284e-16	
0.524608492851	3.06024098396	ar_xviii	3.7311	3.15057e-16	
0.524608492851	3.10040163994	ar_xviii	3.7311	4.56978e-16	
0.524608492851	3.14056229591	ar_xviii	3.7311	6.56659e-16	
0.524608492851	3.18072295189	ar_xviii	3.7311	9.34361e-16	
0.524608492851	3.22088360786	ar_xviii	3.7311	1.31584e-15	
0.524608492851	3.26104426384	ar_xviii	3.7311	1.83309e-15	
0.524608492851	3.30120491982	ar_xviii	3.7311	2.52481e-15	
0.524608492851	3.34136557579	ar_xviii	3.7311	3.43654e-15	
0.524608492851	3.38152599335	ar_xviii	3.7311	4.62065e-15	
0.524608492851	3.42168664932	ar_xviii	3.7311	6.13298e-15	
0.524608492851	3.4618473053	ar_xviii	3.7311	8.03565e-15	
0.524608492851	3.50200796127	ar_xviii	3.7311	1.03909e-14	
0.524608492851	3.54216861725	ar_xviii	3.7311	1.32579e-14	
0.524608492851	3.58232927322	ar_xviii	3.7311	1.66933e-14	
0.524608492851	3.6224899292	ar_xviii	3.7311	2.07471e-14	
0.524608492851	3.66265058517	ar_xviii	3.7311	2.54595e-14	
0.524608492851	3.70281124115	ar_xviii	3.7311	3.08614e-14	
0.524608492851	3.74297189713	ar_xviii	3.7311	3.69724e-14	
0.524608492851	3.7831325531	ar_xviii	3.7311	4.38006e-14	
0.524608492851	3.82329320908	ar_xviii	3.7311	5.13421e-14	
0.524608492851	3.86345386505	ar_xviii	3.7311	5.95813e-14	
0.524608492851	3.90361452103	ar_xviii	3.7311	6.84895e-14	
0.524608492851	3.943775177	ar_xviii	3.7311	7.80243e-14	
0.524608492851	3.98393583298	ar_xviii	3.7311	8.81288e-14	
0.524608492851	4.02409648895	ar_xviii	3.7311	9.87269e-14	
0.524608492851	4.06425714493	ar_xviii	3.7311	1.09726e-13	
0.524608492851	4.1044178009	ar_xviii	3.7311	1.21013e-13	
0.524608492851	4.14457845688	ar_xviii	3.7311	1.32457e-13	
0.524608492851	4.18473911285	ar_xviii	3.7311	1.43898e-13	
0.524608492851	4.22489976883	ar_xviii	3.7311	1.55166e-13	
0.524608492851	4.2650604248	ar_xviii	3.7311	1.6607e-13	
0.524608492851	4.30522108078	ar_xviii	3.7311	1.76408e-13	
0.524608492851	4.34538173676	ar_xviii	3.7311	1.85976e-13	
0.524608492851	4.38554239273	ar_xviii	3.7311	1.94567e-13	
0.524608492851	4.42570304871	ar_xviii	3.7311	2.01995e-13	
0.524608492851	4.46586322784	ar_xviii	3.7311	2.08093e-13	
0.524608492851	4.50602388382	ar_xviii	3.7311	2.12721e-13	
0.524608492851	4.54618453979	ar_xviii	3.7311	2.15818e-13	
0.524608492851	4.58634519577	ar_xviii	3.7311	2.17298e-13	
0.524608492851	4.62650585175	ar_xviii	3.7311	2.17178e-13	
0.524608492851	4.66666650772	ar_xviii	3.7311	2.15505e-13	
0.524608492851	4.7068271637	ar_xviii	3.7311	2.1237e-13	
0.524608492851	4.74698781967	ar_xviii	3.7311	2.079e-13	
0.524608492851	4.78714847565	ar_xviii	3.7311	2.0224e-13	
0.524608492851	4.82730913162	ar_xviii	3.7311	1.95584e-13	
0.524608492851	4.8674697876	ar_xviii	3.7311	1.88142e-13	
